Date,DayOfWeek,Month,SemesterWeek,Weekend,Meal,Menu,Attendance,Capacity,ExamWeek,MidSem,EndSem,Festival,HolidayTomorrow,HolidayAfter2Days,HolidayNear,Rain,ExpectedAttendance,PreparedFood_kg,Waste_kg
2026-01-01,Thursday,1,1,0,Breakfast,Bread Butter Jam,709,980,0,0,0,0,0,0,0,0,725,622.57,86.16
2026-01-01,Thursday,1,1,0,Lunch,Palak Paneer & Rice,980,980,0,0,0,0,0,0,0,0,980,1305.34,137.32
2026-01-01,Thursday,1,1,0,Dinner,Rajma Masala Dinner,806,980,0,0,0,0,0,0,0,0,768,850.46,31.18
2026-01-02,Friday,1,1,0,Breakfast,Masala Khichdi,509,980,0,0,0,0,0,0,0,0,514,455.53,130.41
2026-01-02,Friday,1,1,0,Lunch,Chole Bhature,851,980,0,0,0,0,0,0,0,0,930,1311.28,284.3
2026-01-02,Friday,1,1,0,Dinner,Chole Kulche,771,980,0,0,0,0,0,0,0,0,787,830.05,27.65
2026-01-03,Saturday,1,1,1,Breakfast,Cornflakes & Milk,701,980,0,0,0,0,0,0,0,0,760,690.42,150.26
2026-01-03,Saturday,1,1,1,Lunch,Veg Khichdi,752,980,0,0,0,0,0,0,0,0,869,1245.93,449.82
2026-01-03,Saturday,1,1,1,Dinner,Dal Khichdi Dinner,577,980,0,0,0,0,0,0,0,0,509,556.86,86.96
2026-01-04,Sunday,1,1,1,Breakfast,Idli Vada Combo,472,980,0,0,0,0,0,0,0,0,427,377.68,13.88
2026-01-04,Sunday,1,1,1,Lunch,Vegetable Biryani,880,980,0,0,0,0,0,0,0,0,796,1057.83,19.68
2026-01-04,Sunday,1,1,1,Dinner,Chicken Biryani / Veg Biryani,821,980,0,0,0,0,0,0,0,0,813,878.25,25.82
2026-01-05,Monday,1,1,0,Breakfast,Masala Dosa,770,980,0,0,0,0,0,0,0,0,719,650.54,44.64
2026-01-05,Monday,1,1,0,Lunch,Dal Tadka & Rice,920,980,0,0,0,0,0,0,0,0,847,1083.3,23.93
